Country/Region,Date,Confirmed
Australia,2020-01-22,0
Canada,2020-01-22,0
China,2020-01-22,548
Denmark,2020-01-22,0
France,2020-01-22,0
Netherlands,2020-01-22,0
New Zealand,2020-01-22,0
United Kingdom,2020-01-22,0
Australia,2020-01-23,0
Canada,2020-01-23,2
China,2020-01-23,643
Denmark,2020-01-23,0
France,2020-01-23,0
Netherlands,2020-01-23,0
New Zealand,2020-01-23,0
United Kingdom,2020-01-23,0
Australia,2020-01-24,0
Canada,2020-01-24,3
China,2020-01-24,920
Denmark,2020-01-24,0
France,2020-01-24,0
Netherlands,2020-01-24,0
New Zealand,2020-01-24,0
United Kingdom,2020-01-24,0
Australia,2020-01-25,0
Canada,2020-01-25,3
China,2020-01-25,1406
Denmark,2020-01-25,0
France,2020-01-25,0
Netherlands,2020-01-25,0
New Zealand,2020-01-25,0
United Kingdom,2020-01-25,0
Australia,2020-01-26,4
Canada,2020-01-26,3
China,2020-01-26,2075
Denmark,2020-01-26,0
France,2020-01-26,0
Netherlands,2020-01-26,0
New Zealand,2020-01-26,0
United Kingdom,2020-01-26,0
Australia,2020-01-27,5
Canada,2020-01-27,3
China,2020-01-27,2877
Denmark,2020-01-27,0
France,2020-01-27,0
Netherlands,2020-01-27,0
New Zealand,2020-01-27,0
United Kingdom,2020-01-27,0
Australia,2020-01-28,5
Canada,2020-01-28,4
China,2020-01-28,5509
Denmark,2020-01-28,0
France,2020-01-28,0
Netherlands,2020-01-28,0
New Zealand,2020-01-28,0
United Kingdom,2020-01-28,0
Australia,2020-01-29,6
Canada,2020-01-29,4
China,2020-01-29,6087
Denmark,2020-01-29,0
France,2020-01-29,0
Netherlands,2020-01-29,0
New Zealand,2020-01-29,0
United Kingdom,2020-01-29,0
Australia,2020-01-30,9
Canada,2020-01-30,4
China,2020-01-30,8141
Denmark,2020-01-30,0
France,2020-01-30,0
Netherlands,2020-01-30,0
New Zealand,2020-01-30,0
United Kingdom,2020-01-30,0
Australia,2020-01-31,9
Canada,2020-01-31,4
China,2020-01-31,9802
Denmark,2020-01-31,0
France,2020-01-31,0
Netherlands,2020-01-31,0
New Zealand,2020-01-31,0
United Kingdom,2020-01-31,0
Australia,2020-02-01,12
Canada,2020-02-01,4
China,2020-02-01,11891
Denmark,2020-02-01,0
France,2020-02-01,0
Netherlands,2020-02-01,0
New Zealand,2020-02-01,0
United Kingdom,2020-02-01,0
Australia,2020-02-02,12
Canada,2020-02-02,4
China,2020-02-02,16630
Denmark,2020-02-02,0
France,2020-02-02,0
Netherlands,2020-02-02,0
New Zealand,2020-02-02,0
United Kingdom,2020-02-02,0
Australia,2020-02-03,12
Canada,2020-02-03,4
China,2020-02-03,19716
Denmark,2020-02-03,0
France,2020-02-03,0
Netherlands,2020-02-03,0
New Zealand,2020-02-03,0
United Kingdom,2020-02-03,0
Australia,2020-02-04,13
Canada,2020-02-04,5
China,2020-02-04,23707
Denmark,2020-02-04,0
France,2020-02-04,0
Netherlands,2020-02-04,0
New Zealand,2020-02-04,0
United Kingdom,2020-02-04,0
Australia,2020-02-05,13
Canada,2020-02-05,6
China,2020-02-05,27440
Denmark,2020-02-05,0
France,2020-02-05,0
Netherlands,2020-02-05,0
New Zealand,2020-02-05,0
United Kingdom,2020-02-05,0
Australia,2020-02-06,14
Canada,2020-02-06,6
China,2020-02-06,30587
Denmark,2020-02-06,0
France,2020-02-06,0
Netherlands,2020-02-06,0
New Zealand,2020-02-06,0
United Kingdom,2020-02-06,0
Australia,2020-02-07,15
Canada,2020-02-07,8
China,2020-02-07,34110
Denmark,2020-02-07,0
France,2020-02-07,0
Netherlands,2020-02-07,0
New Zealand,2020-02-07,0
United Kingdom,2020-02-07,0
Australia,2020-02-08,15
Canada,2020-02-08,8
China,2020-02-08,36814
Denmark,2020-02-08,0
France,2020-02-08,0
Netherlands,2020-02-08,0
New Zealand,2020-02-08,0
United Kingdom,2020-02-08,0
Australia,2020-02-09,15
Canada,2020-02-09,8
China,2020-02-09,39829
Denmark,2020-02-09,0
France,2020-02-09,0
Netherlands,2020-02-09,0
New Zealand,2020-02-09,0
United Kingdom,2020-02-09,0
Australia,2020-02-10,15
Canada,2020-02-10,9
China,2020-02-10,42354
Denmark,2020-02-10,0
France,2020-02-10,0
Netherlands,2020-02-10,0
New Zealand,2020-02-10,0
United Kingdom,2020-02-10,0
Australia,2020-02-11,15
Canada,2020-02-11,9
China,2020-02-11,44386
Denmark,2020-02-11,0
France,2020-02-11,0
Netherlands,2020-02-11,0
New Zealand,2020-02-11,0
United Kingdom,2020-02-11,0
Australia,2020-02-12,15
Canada,2020-02-12,9
China,2020-02-12,44759
Denmark,2020-02-12,0
France,2020-02-12,0
Netherlands,2020-02-12,0
New Zealand,2020-02-12,0
United Kingdom,2020-02-12,0
Australia,2020-02-13,15
Canada,2020-02-13,9
China,2020-02-13,59895
Denmark,2020-02-13,0
France,2020-02-13,0
Netherlands,2020-02-13,0
New Zealand,2020-02-13,0
United Kingdom,2020-02-13,0
Australia,2020-02-14,15
Canada,2020-02-14,9
China,2020-02-14,66358
Denmark,2020-02-14,0
France,2020-02-14,0
Netherlands,2020-02-14,0
New Zealand,2020-02-14,0
United Kingdom,2020-02-14,0
Australia,2020-02-15,15
Canada,2020-02-15,9
China,2020-02-15,68413
Denmark,2020-02-15,0
France,2020-02-15,0
Netherlands,2020-02-15,0
New Zealand,2020-02-15,0
United Kingdom,2020-02-15,0
Australia,2020-02-16,15
Canada,2020-02-16,9
China,2020-02-16,70513
Denmark,2020-02-16,0
France,2020-02-16,0
Netherlands,2020-02-16,0
New Zealand,2020-02-16,0
United Kingdom,2020-02-16,0
Australia,2020-02-17,15
Canada,2020-02-17,10
China,2020-02-17,72434
Denmark,2020-02-17,0
France,2020-02-17,0
Netherlands,2020-02-17,0
New Zealand,2020-02-17,0
United Kingdom,2020-02-17,0
Australia,2020-02-18,15
Canada,2020-02-18,10
China,2020-02-18,74211
Denmark,2020-02-18,0
France,2020-02-18,0
Netherlands,2020-02-18,0
New Zealand,2020-02-18,0
United Kingdom,2020-02-18,0
Australia,2020-02-19,15
Canada,2020-02-19,10
China,2020-02-19,74619
Denmark,2020-02-19,0
France,2020-02-19,0
Netherlands,2020-02-19,0
New Zealand,2020-02-19,0
United Kingdom,2020-02-19,0
Australia,2020-02-20,15
Canada,2020-02-20,11
China,2020-02-20,75077
Denmark,2020-02-20,0
France,2020-02-20,0
Netherlands,2020-02-20,0
New Zealand,2020-02-20,0
United Kingdom,2020-02-20,0
Australia,2020-02-21,15
Canada,2020-02-21,13
China,2020-02-21,75550
Denmark,2020-02-21,0
France,2020-02-21,0
Netherlands,2020-02-21,0
New Zealand,2020-02-21,0
United Kingdom,2020-02-21,0
Australia,2020-02-22,15
Canada,2020-02-22,14
China,2020-02-22,77001
Denmark,2020-02-22,0
France,2020-02-22,0
Netherlands,2020-02-22,0
New Zealand,2020-02-22,0
United Kingdom,2020-02-22,0
Australia,2020-02-23,15
Canada,2020-02-23,15
China,2020-02-23,77022
Denmark,2020-02-23,0
France,2020-02-23,0
Netherlands,2020-02-23,0
New Zealand,2020-02-23,0
United Kingdom,2020-02-23,0
Australia,2020-02-24,15
Canada,2020-02-24,16
China,2020-02-24,77241
Denmark,2020-02-24,0
France,2020-02-24,0
Netherlands,2020-02-24,0
New Zealand,2020-02-24,0
United Kingdom,2020-02-24,0
Australia,2020-02-25,15
Canada,2020-02-25,19
China,2020-02-25,77754
Denmark,2020-02-25,0
France,2020-02-25,0
Netherlands,2020-02-25,0
New Zealand,2020-02-25,0
United Kingdom,2020-02-25,0
Australia,2020-02-26,15
Canada,2020-02-26,20
China,2020-02-26,78166
Denmark,2020-02-26,0
France,2020-02-26,0
Netherlands,2020-02-26,0
New Zealand,2020-02-26,0
United Kingdom,2020-02-26,0
Australia,2020-02-27,15
Canada,2020-02-27,22
China,2020-02-27,78600
Denmark,2020-02-27,0
France,2020-02-27,0
Netherlands,2020-02-27,0
New Zealand,2020-02-27,0
United Kingdom,2020-02-27,0
Australia,2020-02-28,15
Canada,2020-02-28,28
China,2020-02-28,78928
Denmark,2020-02-28,0
France,2020-02-28,0
Netherlands,2020-02-28,0
New Zealand,2020-02-28,0
United Kingdom,2020-02-28,0
Australia,2020-02-29,25
Canada,2020-02-29,33
China,2020-02-29,79356
Denmark,2020-02-29,0
France,2020-02-29,0
Netherlands,2020-02-29,0
New Zealand,2020-02-29,0
United Kingdom,2020-02-29,0
Australia,2020-03-01,27
Canada,2020-03-01,38
China,2020-03-01,79932
Denmark,2020-03-01,0
France,2020-03-01,0
Netherlands,2020-03-01,0
New Zealand,2020-03-01,0
United Kingdom,2020-03-01,0
Australia,2020-03-02,30
Canada,2020-03-02,45
China,2020-03-02,80136
Denmark,2020-03-02,0
France,2020-03-02,0
Netherlands,2020-03-02,0
New Zealand,2020-03-02,0
United Kingdom,2020-03-02,0
Australia,2020-03-03,39
Canada,2020-03-03,51
China,2020-03-03,80261
Denmark,2020-03-03,0
France,2020-03-03,0
Netherlands,2020-03-03,0
New Zealand,2020-03-03,0
United Kingdom,2020-03-03,0
Australia,2020-03-04,52
Canada,2020-03-04,59
China,2020-03-04,80386
Denmark,2020-03-04,1
France,2020-03-04,3
Netherlands,2020-03-04,0
New Zealand,2020-03-04,0
United Kingdom,2020-03-04,1
Australia,2020-03-05,55
Canada,2020-03-05,71
China,2020-03-05,80537
Denmark,2020-03-05,1
France,2020-03-05,3
Netherlands,2020-03-05,0
New Zealand,2020-03-05,0
United Kingdom,2020-03-05,1
Australia,2020-03-06,60
Canada,2020-03-06,90
China,2020-03-06,80690
Denmark,2020-03-06,1
France,2020-03-06,3
Netherlands,2020-03-06,0
New Zealand,2020-03-06,0
United Kingdom,2020-03-06,1
Australia,2020-03-07,63
Canada,2020-03-07,98
China,2020-03-07,80770
Denmark,2020-03-07,1
France,2020-03-07,10
Netherlands,2020-03-07,0
New Zealand,2020-03-07,0
United Kingdom,2020-03-07,1
Australia,2020-03-08,76
Canada,2020-03-08,120
China,2020-03-08,80823
Denmark,2020-03-08,2
France,2020-03-08,10
Netherlands,2020-03-08,0
New Zealand,2020-03-08,0
United Kingdom,2020-03-08,1
Australia,2020-03-09,91
Canada,2020-03-09,144
China,2020-03-09,80860
Denmark,2020-03-09,2
France,2020-03-09,10
Netherlands,2020-03-09,0
New Zealand,2020-03-09,0
United Kingdom,2020-03-09,1
Australia,2020-03-10,107
Canada,2020-03-10,165
China,2020-03-10,80887
Denmark,2020-03-10,2
France,2020-03-10,10
Netherlands,2020-03-10,0
New Zealand,2020-03-10,0
United Kingdom,2020-03-10,1
Australia,2020-03-11,128
Canada,2020-03-11,228
China,2020-03-11,80921
Denmark,2020-03-11,2
France,2020-03-11,12
Netherlands,2020-03-11,0
New Zealand,2020-03-11,0
United Kingdom,2020-03-11,1
Australia,2020-03-12,128
Canada,2020-03-12,289
China,2020-03-12,80932
Denmark,2020-03-12,2
France,2020-03-12,12
Netherlands,2020-03-12,0
New Zealand,2020-03-12,0
United Kingdom,2020-03-12,1
Australia,2020-03-13,200
Canada,2020-03-13,386
China,2020-03-13,80945
Denmark,2020-03-13,3
France,2020-03-13,20
Netherlands,2020-03-13,2
New Zealand,2020-03-13,0
United Kingdom,2020-03-13,2
Australia,2020-03-14,250
Canada,2020-03-14,453
China,2020-03-14,80977
Denmark,2020-03-14,9
France,2020-03-14,27
Netherlands,2020-03-14,3
New Zealand,2020-03-14,0
United Kingdom,2020-03-14,2
Australia,2020-03-15,297
Canada,2020-03-15,549
China,2020-03-15,81003
Denmark,2020-03-15,11
France,2020-03-15,33
Netherlands,2020-03-15,3
New Zealand,2020-03-15,0
United Kingdom,2020-03-15,2
Australia,2020-03-16,377
Canada,2020-03-16,700
China,2020-03-16,81033
Denmark,2020-03-16,19
France,2020-03-16,50
Netherlands,2020-03-16,3
New Zealand,2020-03-16,0
United Kingdom,2020-03-16,2
Australia,2020-03-17,452
Canada,2020-03-17,854
China,2020-03-17,81058
Denmark,2020-03-17,48
France,2020-03-17,63
Netherlands,2020-03-17,6
New Zealand,2020-03-17,0
United Kingdom,2020-03-17,4
Australia,2020-03-18,568
Canada,2020-03-18,1097
China,2020-03-18,81102
Denmark,2020-03-18,59
France,2020-03-18,81
Netherlands,2020-03-18,7
New Zealand,2020-03-18,0
United Kingdom,2020-03-18,11
Australia,2020-03-19,681
Canada,2020-03-19,1349
China,2020-03-19,81156
Denmark,2020-03-19,74
France,2020-03-19,99
Netherlands,2020-03-19,7
New Zealand,2020-03-19,0
United Kingdom,2020-03-19,17
Australia,2020-03-20,791
Canada,2020-03-20,1692
China,2020-03-20,81250
Denmark,2020-03-20,82
France,2020-03-20,146
Netherlands,2020-03-20,9
New Zealand,2020-03-20,0
United Kingdom,2020-03-20,18
Australia,2020-03-21,1071
Canada,2020-03-21,2195
China,2020-03-21,81305
Denmark,2020-03-21,94
France,2020-03-21,181
Netherlands,2020-03-21,9
New Zealand,2020-03-21,0
United Kingdom,2020-03-21,18
Australia,2020-03-22,1549
Canada,2020-03-22,2652
China,2020-03-22,81435
Denmark,2020-03-22,119
France,2020-03-22,228
Netherlands,2020-03-22,13
New Zealand,2020-03-22,0
United Kingdom,2020-03-22,65
Australia,2020-03-23,1682
Canada,2020-03-23,3298
China,2020-03-23,81493
Denmark,2020-03-23,122
France,2020-03-23,264
Netherlands,2020-03-23,15
New Zealand,2020-03-23,0
United Kingdom,2020-03-23,79
Australia,2020-03-24,2044
Canada,2020-03-24,3997
China,2020-03-24,81587
Denmark,2020-03-24,127
France,2020-03-24,318
Netherlands,2020-03-24,20
New Zealand,2020-03-24,0
United Kingdom,2020-03-24,100
Australia,2020-03-25,2364
Canada,2020-03-25,4570
China,2020-03-25,81658
Denmark,2020-03-25,138
France,2020-03-25,364
Netherlands,2020-03-25,26
New Zealand,2020-03-25,0
United Kingdom,2020-03-25,115
Australia,2020-03-26,2810
Canada,2020-03-26,5511
China,2020-03-26,81781
Denmark,2020-03-26,146
France,2020-03-26,396
Netherlands,2020-03-26,37
New Zealand,2020-03-26,0
United Kingdom,2020-03-26,142
Australia,2020-03-27,3143
Canada,2020-03-27,6380
China,2020-03-27,81872
Denmark,2020-03-27,154
France,2020-03-27,436
Netherlands,2020-03-27,44
New Zealand,2020-03-27,0
United Kingdom,2020-03-27,186
Australia,2020-03-28,3640
Canada,2020-03-28,7310
China,2020-03-28,81964
Denmark,2020-03-28,165
France,2020-03-28,531
Netherlands,2020-03-28,57
New Zealand,2020-03-28,0
United Kingdom,2020-03-28,216
Australia,2020-03-29,3984
Canada,2020-03-29,8246
China,2020-03-29,82058
Denmark,2020-03-29,169
France,2020-03-29,535
Netherlands,2020-03-29,64
New Zealand,2020-03-29,0
United Kingdom,2020-03-29,253
Australia,2020-03-30,4361
Canada,2020-03-30,9478
China,2020-03-30,82139
Denmark,2020-03-30,178
France,2020-03-30,616
Netherlands,2020-03-30,67
New Zealand,2020-03-30,0
United Kingdom,2020-03-30,282
Australia,2020-03-31,4559
Canada,2020-03-31,10711
China,2020-03-31,82245
Denmark,2020-03-31,179
France,2020-03-31,702
Netherlands,2020-03-31,72
New Zealand,2020-03-31,0
United Kingdom,2020-03-31,304
Australia,2020-04-01,4862
Canada,2020-04-01,12023
China,2020-04-01,82333
Denmark,2020-04-01,183
France,2020-04-01,763
Netherlands,2020-04-01,82
New Zealand,2020-04-01,0
United Kingdom,2020-04-01,357
Australia,2020-04-02,5116
Canada,2020-04-02,13742
China,2020-04-02,82414
Denmark,2020-04-02,187
France,2020-04-02,823
Netherlands,2020-04-02,91
New Zealand,2020-04-02,0
United Kingdom,2020-04-02,431
Australia,2020-04-03,5330
Canada,2020-04-03,15074
China,2020-04-03,82497
Denmark,2020-04-03,189
France,2020-04-03,864
Netherlands,2020-04-03,98
New Zealand,2020-04-03,0
United Kingdom,2020-04-03,467
Australia,2020-04-04,5550
Canada,2020-04-04,16410
China,2020-04-04,82534
Denmark,2020-04-04,192
France,2020-04-04,893
Netherlands,2020-04-04,100
New Zealand,2020-04-04,0
United Kingdom,2020-04-04,541
Australia,2020-04-05,5687
Canada,2020-04-05,17599
China,2020-04-05,82594
Denmark,2020-04-05,192
France,2020-04-05,926
Netherlands,2020-04-05,102
New Zealand,2020-04-05,0
United Kingdom,2020-04-05,567
Australia,2020-04-06,5797
Canada,2020-04-06,19100
China,2020-04-06,82665
Denmark,2020-04-06,194
France,2020-04-06,950
Netherlands,2020-04-06,123
New Zealand,2020-04-06,0
United Kingdom,2020-04-06,648
Australia,2020-04-07,5895
Canada,2020-04-07,20488
China,2020-04-07,82718
Denmark,2020-04-07,195
France,2020-04-07,995
Netherlands,2020-04-07,129
New Zealand,2020-04-07,0
United Kingdom,2020-04-07,682
Australia,2020-04-08,6010
Canada,2020-04-08,21724
China,2020-04-08,82809
Denmark,2020-04-08,195
France,2020-04-08,1008
Netherlands,2020-04-08,133
New Zealand,2020-04-08,0
United Kingdom,2020-04-08,723
Australia,2020-04-09,6108
Canada,2020-04-09,23104
China,2020-04-09,82883
Denmark,2020-04-09,195
France,2020-04-09,1031
Netherlands,2020-04-09,141
New Zealand,2020-04-09,0
United Kingdom,2020-04-09,783
Australia,2020-04-10,6215
Canada,2020-04-10,24248
China,2020-04-10,82941
Denmark,2020-04-10,195
France,2020-04-10,1062
Netherlands,2020-04-10,152
New Zealand,2020-04-10,0
United Kingdom,2020-04-10,807
Australia,2020-04-11,6303
Canada,2020-04-11,25624
China,2020-04-11,83014
Denmark,2020-04-11,195
France,2020-04-11,1073
Netherlands,2020-04-11,158
New Zealand,2020-04-11,0
United Kingdom,2020-04-11,858
Australia,2020-04-12,6315
Canada,2020-04-12,26966
China,2020-04-12,83134
Denmark,2020-04-12,195
France,2020-04-12,1080
Netherlands,2020-04-12,159
New Zealand,2020-04-12,0
United Kingdom,2020-04-12,899
Australia,2020-04-13,6351
Canada,2020-04-13,28763
China,2020-04-13,83213
Denmark,2020-04-13,195
France,2020-04-13,1097
Netherlands,2020-04-13,159
New Zealand,2020-04-13,0
United Kingdom,2020-04-13,925
Australia,2020-04-14,6415
Canada,2020-04-14,30452
China,2020-04-14,83306
Denmark,2020-04-14,195
France,2020-04-14,1109
Netherlands,2020-04-14,161
New Zealand,2020-04-14,0
United Kingdom,2020-04-14,959
Australia,2020-04-15,6440
Canada,2020-04-15,32199
China,2020-04-15,83355
Denmark,2020-04-15,195
France,2020-04-15,1112
Netherlands,2020-04-15,163
New Zealand,2020-04-15,0
United Kingdom,2020-04-15,996
Australia,2020-04-16,6462
Canada,2020-04-16,33965
China,2020-04-16,83403
Denmark,2020-04-16,195
France,2020-04-16,1131
Netherlands,2020-04-16,169
New Zealand,2020-04-16,0
United Kingdom,2020-04-16,1036
Australia,2020-04-17,6522
Canada,2020-04-17,36091
China,2020-04-17,83760
Denmark,2020-04-17,195
France,2020-04-17,1161
Netherlands,2020-04-17,170
New Zealand,2020-04-17,0
United Kingdom,2020-04-17,1056
Australia,2020-04-18,6568
Canada,2020-04-18,37617
China,2020-04-18,83786
Denmark,2020-04-18,195
France,2020-04-18,1178
Netherlands,2020-04-18,177
New Zealand,2020-04-18,0
United Kingdom,2020-04-18,1071
Australia,2020-04-19,6610
Canada,2020-04-19,39317
China,2020-04-19,83805
Denmark,2020-04-19,196
France,2020-04-19,1203
Netherlands,2020-04-19,183
New Zealand,2020-04-19,0
United Kingdom,2020-04-19,1086
Australia,2020-04-20,6623
Canada,2020-04-20,41029
China,2020-04-20,83817
Denmark,2020-04-20,196
France,2020-04-20,1205
Netherlands,2020-04-20,183
New Zealand,2020-04-20,0
United Kingdom,2020-04-20,1105
Australia,2020-04-21,6645
Canada,2020-04-21,42619
China,2020-04-21,83853
Denmark,2020-04-21,196
France,2020-04-21,1247
